Indicator Group / Sector,research.question,sub.research.question,repeat.for.variable,independent.variable,independent.variable.type,dependent.variable,dependent.variable.type,hypothesis.type
,,,,,,chronic,categorical,direct_reporting
,,,,,,plw_hh,categorical,direct_reporting
,,,,,,disp_why1,categorical,direct_reporting
,,,,,,disp_why2,categorical,direct_reporting
,,,,,,dest_loc_why1,categorical,direct_reporting
,,,,,,dest_loc_why2,categorical,direct_reporting
,,,,,,no_difficulty_hh,categorical,direct_reporting
,,,,,,minor_difficulties_hh,categorical,direct_reporting
,,,,,,some_difficulties_hh,categorical,direct_reporting
,,,,,,a_lot_hh,categorical,direct_reporting
,,,,,,cannot_carry_hh,categorical,direct_reporting
,,,,,,fore_hhdebt,categorical,direct_reporting
,,,,,,lost_employment,categorical,direct_reporting
,,,,population_group,categorical,primary_source_drinking_water,categorical,group_difference
,,,,population_group,categorical,enough_drinking_water,categorical,group_difference
,,,,population_group,categorical,time_to_reach_water_source,categorical,group_difference
,,,,population_group,categorical,how_much_pay_water,categorical,group_difference
,,,,population_group,categorical,water_price_changed,categorical,group_difference
,,,,population_group,categorical,latrine_type,categorical,group_difference
,,,,population_group,categorical,household_access_latrine,categorical,group_difference
,,,,population_group,categorical,access_to_soap,categorical,group_difference
,,,,population_group,categorical,internal_seperation_rooms,categorical,group_difference
,,,,population_group,categorical,source_of_light_at_night,categorical,group_difference
,,,,population_group,categorical,shelter_lock_from_inside,categorical,group_difference
,,,,population_group,categorical,household_nfi,categorical,group_difference
,,,,population_group,categorical,own_land,categorical,group_difference
,,,,population_group,categorical,hlp_dispute,categorical,group_difference
,,,,population_group,categorical,shelter_damaged_last_90_days,categorical,group_difference
,,,,population_group,categorical,theft_from_shelter,categorical,group_difference
,,,,population_group,categorical,adult_health_access,categorical,group_difference
,,,,population_group,categorical,mental_problems_faced,categorical,group_difference
,,,,population_group,categorical,pregnancy_health,categorical,group_difference
,,,,population_group,categorical,mobile_health_outreach,categorical,group_difference
,,,,population_group,categorical,vaccination_children,categorical,group_difference
,,,,population_group,categorical,time_health,categorical,group_difference
,,,,population_group,categorical,health_price_change,categorical,group_difference
,,,,population_group,categorical,access_school,categorical,group_difference
,,,,population_group,categorical,pay_education,categorical,group_difference
,,,,population_group,categorical,education_price_change,categorical,group_difference
,,,,population_group,categorical,cash_bracket_education,categorical,group_difference
,,,,population_group,categorical,primary_degree,categorical,group_difference
,,,,population_group,categorical,secondary_degree,categorical,group_difference
,,,,population_group,categorical,vocational_degree,categorical,group_difference
,,,,population_group,categorical,tertiary_degree,categorical,group_difference
,,,,population_group,categorical,time_school,categorical,group_difference
,,,,population_group,categorical,separation_members,categorical,group_difference
,,,,population_group,categorical,free_movement,categorical,group_difference
,,,,population_group,categorical,theft_harassment,categorical,group_difference
,,,,population_group,categorical,light_injury,categorical,group_difference
,,,,population_group,categorical,grave_injury,categorical,group_difference
,,,,population_group,categorical,sgbv,categorical,group_difference
,,,,population_group,categorical,abductions,categorical,group_difference
,,,,population_group,categorical,uxo,categorical,group_difference
,,,,population_group,categorical,death,categorical,group_difference
,,,,population_group,categorical,judicial_remedy,categorical,group_difference
,,,,population_group,categorical,judicial_remedy_effective,categorical,group_difference
,,,,population_group,categorical,women_committee,categorical,group_difference
,,,,population_group,categorical,drop_out,categorical,group_difference
,,,,population_group,categorical,child_health_access,categorical,group_difference
,,,,population_group,categorical,child_health,categorical,group_difference
,,,,population_group,categorical,new_not_attend_total,categorical,group_difference
,,,,population_group,categorical,school_age_total,categorical,group_difference
,,,,population_group,categorical,child_space,categorical,group_difference
,,,,population_group,categorical,mental_health_score,categorical,group_difference
,,,,,,mental_heath_issue_hh,categorical,direct_reporting
,,,,,,lost_employment_hh,categorical,direct_reporting
,,,,,,qty_working_pers,categorical,direct_reporting
,,,,,,total_hh,numerical,direct_reporting
,,,,,,female_hh,categorical,direct_reporting
,,,,,,child_hh,categorical,direct_reporting
,,,,,,elderly_hh,categorical,direct_reporting
,,,,,,pwd_hh,categorical,direct_reporting
,,,,,,breadwinner,categorical,direct_reporting
